1712854,Lưu Hạo Nhiên,Công nghệ thông tin,2017,12/12/1999,lhn.jpg,Mình là người vui vẻ và hòa đồng,Mình rất thích đi xem phim cùng bạn bè,lhn@gmail.com
1712786,Thái Từ Khôn,Công nghệ thông tin,2017,1/2/1999,ttk.jpg,Mình hoạt bát và vui vẻ,Mình thích ăn uống đặc biệt là trà sữa,ttk@gmail.com
1712456,Dương Dương,Công nghệ thông tin,2017,11/11/1999,dd.jpg,Mình là người khá trầm tính và hơi rụt rè,Mình thích sự yên tĩnh,dd@gmail.com
1712865,Nguyễn Thanh Tùng,Công nghệ thông tin,2017,5/7/1999,st.jpg,Mình tự tin và có cá tính,Mình đam mê ca hát,stmtp@gmail.com
1712114,Trịnh Sảng,Công nghệ thông tin,2017,20/03/1999,ts.jpg,Tớ khá thông minh và hoạt bát(nói hơi nhiều),Tớ rất thích đi du lịch cùng gia đình,ts@gmail.com
1712923,Hoàng Thị Quỳnh Như,Công nghệ thông tin,2017,10/9/1999,jy.jpg,tôi yêu đời và có tính hài hước,tôi yêu động vật đặc biệt là chó,nty@gmail.com
1712511,Đàm Tùng Vận,Công nghệ thông tin,2017,29/10/1999,dtv.jpg,mình rất năng động và nhanh nhẹn,mình thích các môn thể thao,dtv@gmail.com
1712859,Nguyễn Na Chi,Công nghệ thông tin,2017,3/6/1999,nancy.jpg,Mình là người vui vẻ và tự tin,Mình thích nhảy và ca hát,nnc@gmail.com
1712629,Vương Tử Vy,Công nghệ thông tin,2017,4/1/1999,vtv.jpg,Mình khá hiền và tốt bụng,Mình thích đọc truyện tranh,vtv@gmail.com
1712544,Thẩm Nguyệt,Công nghệ thông tin,2017,8/8/1999,tn.jpg,Mình hơi ngố ngố và thật thà,Mình thích nghe nhạc đặc biệt là rap,tn@gmail.com
